Time	pre	pre	tem	tem
19751012/1200	0	0	-11.6	-9.7
19751013/1200	0	0	-12.9	-12.1
19751014/1200	0	0.4	-6.3	-5.9
19751015/1200	0.6	2	-4.8	-4.7
19751016/1200	0	0	-8.6	-10.9
19751017/1200	0	0	-11.4	-16.2
19751018/1200	0.7	0	-10.3	-10.2
19751019/1200	0	3.5	-10	-8
19751020/1200	0.7	0.8	-12.1	-14
19751021/1200	0	0	-8.3	-7.3
19751022/1200	0	0	-5.7	-5
19751023/1200	1.1	1.7	-4.8	-5.4
19751024/1200	0.2	0	-5.9	-7.4
19751025/1200	0	0	-10.6	-12.5
19751026/1200	0	0	-15.5	-16.5
19751027/1200	0	0	-14.6	-11.1
19751028/1200	0.4	1.1	-9.5	-8.4
19751029/1200	0.6	0.2	-18.3	-14.5
19751030/1200	0	0	-13.3	-8.8
19751031/1200	0.4	1.5	-7.1	-5.8
19751101/1200	0.9	1.7	-9	-11.5
19751102/1200	0	0.3	-1.6	0
19751103/1200	0	4.2	5	4.4
19751104/1200	3	34.3	3.3	2.6
19751105/1200	1.3	12.3	-0.6	-1
19751106/1200	0.5	0	-7.9	-6.7
19751107/1200	0.1	0	-8.2	-9.5
19751108/1200	2.2	2	-3.1	-3.6
19751109/1200	1	0	-13.2	-14.9
19751110/1200	0	0.5	-15	-14.6
19751111/1200	0	0	-10.1	-9.6
19751112/1200	2.7	0	-8.4	-5.2
19751113/1200	2	0.9	-15.9	-14.2
19751114/1200	0	0	-14.6	-12.1
19751115/1200	0	0	-13.6	-12.5
19751116/1200	0	0	-19.1	-15.2
19751117/1200	0	0	-17.4	-18
19751118/1200	0	0	-14.5	-14.9
19751119/1200	0	0	-13.8	-12
19751120/1200	0	0	-16.2	-12.8
19751121/1200	0	0	-17.2	-15.9
19751122/1200	0	0	-20.5	-17.7
19751123/1200	0	0	-17.5	-14.9
19751124/1200	0	0	-16.6	-11.7
19751125/1200	0	0	-11	-9.1
19751126/1200	0	0	-12.3	-9.1
19751127/1200	0	0	-14.4	-12.1
19751128/1200	0	0	-8.1	-5.2
19751129/1200	0	0	-1.8	-2.6
19751130/1200	0.1	2.7	-3.4	-2.7
19751201/1200	0	5.3	-5.8	-7.2
19751202/1200	0.1	0	-9.3	-12.2
19751203/1200	0.1	0	-7.8	-6.8
19751204/1200	0	0	-4.3	-3.4
19751205/1200	0	0.4	-7.4	-7.7
19751206/1200	0	0	-13.4	-10.6
19751207/1200	0	0	-11.1	-10.8
19751208/1200	0.4	0	-16.1	-18.4
19751209/1200	0.2	0	-22.3	-22.6
19751210/1200	0	3	-23.6	-21.3
19751211/1200	0	1.2	-20.8	-20
19751212/1200	0.4	0.4	-20.2	-26.2
19751213/1200	0.1	0	-23.9	-21.4
19751214/1200	0	0	-21.5	-22.7
19751215/1200	0	0	-22.3	-21.1
19751216/1200	0	0	-23.3	-21.8
19751217/1200	0	0	-21.5	-20
19751218/1200	0	0	-23.4	-23.5
19751219/1200	0	0	-28.4	-25.7
19751220/1200	0.1	0	-15	-11.6
19751221/1200	0.1	0	-12.6	-11.2
19751222/1200	0	0	-14.9	-13.6
19751223/1200	0	0	-24	-22.2
19751224/1200	0	0.9	-26.9	-24.5
19751225/1200	0	0	-29.8	-26.3
19751226/1200	0	0	-29.3	-24.2
19751227/1200	0	0	-22.6	-20.1
19751228/1200	0	0	-24.1	-22.5
19751229/1200	0	0	-30.6	-25.8
19751230/1200	0	0	-24	-21.5
19751231/1200	0	0	-24.4	-21.4
19760101/1200	0	0	-26.6	-25.9
19760102/1200	0	0	-25.6	-21.5
19760103/1200	0	0	-27.8	-22.1
19760104/1200	0.1	0	-22.2	-19.8
19760105/1200	0.1	4.1	-22.6	-21.2
19760106/1200	0	0	-20.9	-18.1
19760107/1200	0.9	2.3	-22.9	-18.8
19760108/1200	0	0.6	-22	-16.3
19760109/1200	0.4	2.1	-13.5	-13.4
19760110/1200	2.8	3.3	-8.7	-14.2
19760111/1200	3.8	1.2	-15.5	-17.3
19760112/1200	0.5	0	-12.4	-9
19760113/1200	0	0	-12.3	-11.9
19760114/1200	0	0.1	-13.8	-13.1
19760115/1200	0.1	0	-14.7	-7.2
19760116/1200	0	2.1	-5	-4.2
19760117/1200	0	0	-4.3	-3.4
19760118/1200	0	0.5	-2.1	-1.6
19760119/1200	0	0.8	-3.9	-2.9
19760120/1200	0	1.7	-3.8	-7.9
19760121/1200	0	0	-5	-3.7
19760122/1200	0.6	0	-11.7	-10.7
19760123/1200	0	0	-10.7	-9.3
19760124/1200	0	0	-8.3	-8.7
19760125/1200	0	0	-11.3	-10.4
19760126/1200	0.3	0	-15.3	-12.9
19760127/1200	0	0	-15	-11.7
19760128/1200	0	0	-16	-13.4
19760129/1200	0	0.1	-20.9	-18.4
19760130/1200	0	0	-22.9	-15.3
19760131/1200	0	0.2	-20.5	-15
19760201/1200	0	0.3	-17.9	-13.1
19760202/1200	0	0	-16.1	-14.2
19760203/1200	0	0	-16.6	-14.4
19760204/1200	0	0	-7.2	-7.9
19760205/1200	0	0	-5.4	-4.7
19760206/1200	0.1	2.7	-3.8	-4.2
19760207/1200	0.6	1	-2.5	-2.1
19760208/1200	1	5	-4.4	-7.9
19760209/1200	0	4	0.3	1.4
19760210/1200	0.2	13.6	1.4	0.8
19760211/1200	0	3.1	-3.6	-2.5
19760212/1200	4.7	1.5	-4.4	-4.5
19760213/1200	2.5	1.1	-11.2	-10.8
19760214/1200	0.1	2.3	-0.8	-1.8
19760215/1200	7.3	11.9	-4.5	-4.1
19760216/1200	3.8	7.5	-10.2	-11.2
19760217/1200	2	5.2	-15.3	-16.1
19760218/1200	0	0	-27.8	-20.5
19760219/1200	0	0	-22.5	-16.3
19760220/1200	0	1.7	-22	-16.9
19760221/1200	2.3	5.4	-2.6	3.1
19760222/1200	5	22.1	2	1
19760223/1200	8.5	22.5	-14.6	-13.9
19760224/1200	0	0.6	-15.6	-16.4
19760225/1200	0	0	-18.4	-16.2
19760226/1200	0	0	-29.1	-26
19760227/1200	0	0	-30.5	-26.5
19760228/1200	0	0	-33.1	-26.2
19760229/1200	0	0	-32.4	-27.1
19760301/1200	0	0	-31.7	-24.6
19760302/1200	0	0	-33.2	-25.3
19760303/1200	0	0	-27.8	-14.7
19760304/1200	6.6	0	-0.1	-0.4
19760305/1200	6.2	17.5	-11	-13.8
19760306/1200	8.7	1.8	-10.2	-13.8
19760307/1200	13	8.8	-12.2	-13.2
19760308/1200	0.3	0	-22.1	-14.7
19760309/1200	0	3.5	-13.8	-10
19760310/1200	0.4	0.4	-6.5	-2.8
19760311/1200	0	0.7	-1.9	-1.5
19760312/1200	0.4	3.7	-0.5	-0.5
19760313/1200	0.1	2	-2.3	-3
19760314/1200	0	5.5	-5.7	-3.4
19760315/1200	0.1	0.5	-10.1	-6.1
19760316/1200	0.7	1.6	-6.1	-2.1
19760317/1200	0.1	0.6	-1.6	-0.4
19760318/1200	0.1	0.7	-1.6	-2.3
19760319/1200	0.1	1.7	-4.1	-4.3
19760320/1200	0.6	2	-3.3	-8.9
19760321/1200	0.5	1.4	2.3	1.4
19760322/1200	0	1.6	4.3	3.9
19760323/1200	1.3	13	2	2.5
19760324/1200	0	14.5	1.2	2.6
19760325/1200	0	1.4	-0.1	0.9
19760326/1200	0	0	-6.2	-5.5
19760327/1200	0	1	-3.4	-5
19760328/1200	0	0	-4.5	-5.5
19760329/1200	0	0	-3.5	-3.7
19760330/1200	0	0	-9.4	-7.7
19760331/1200	0	0	-12.3	-8.8
19760401/1200	0	0	-13.2	-9.6
19760402/1200	0.5	0	-10.9	-8.8
19760403/1200	0.4	0	-17.4	-12.3
19760404/1200	0	0	-19	-13.1
19760405/1200	0	0	-19.8	-13.9
19760406/1200	0	0	-18.4	-13.5
19760407/1200	0	0	-18.5	-10.8
19760408/1200	0	0	-10.2	-7.5
19760409/1200	0.2	0	-6.5	-4.9
19760410/1200	0	0	-10.3	-9.7
19760411/1200	1.7	0.2	-12.7	-13.5
19760412/1200	0.3	0.7	-13.5	-13.9
19760413/1200	0	0.2	-12.5	-12.9
19760414/1200	1.2	1.4	-2.6	-3.3
19760415/1200	0.7	3.3	-5.7	-5.6
19760416/1200	0	0	-0.6	-0.9
19760417/1200	1	0.4	-1.9	-1.5
19760418/1200	0	0	-4.5	-3.5
19760419/1200	0	0	-7.1	-6.2
19760420/1200	0	0	-10.2	-7.3
19760421/1200	0.5	1.1	-0.8	0.3
19760422/1200	2.5	4.7	-8.8	-10.9
19760423/1200	0	0.2	-10.8	-10.6
19760424/1200	0.2	0	-13.6	-10.8
19760425/1200	0	0	-12.2	-12.8
19760426/1200	0	0	-11.4	-9.1
19760427/1200	0	0	-12	-10
19760428/1200	0.2	0	-13.7	-10.3
19760429/1200	0	0	-10.7	-9.1
19760430/1200	0	0	-10.2	-7.9
19760501/1200	0	0	-11.2	-9.7
19760502/1200	0	0	-8.2	-7.7
19760503/1200	0	0	-4.3	-5.1
19760504/1200	0	0	-5.7	-3.2
19760505/1200	0	0	-7.6	-4.5
19760506/1200	0	0	-9	-6.1
19760507/1200	0	0	-8.8	-4.4
19760508/1200	0	0	-6.9	-5
19760509/1200	0	0	-5.9	-4
19760510/1200	0	0	-2.7	-2
19760511/1200	0	0	-3.2	-2.7
19760512/1200	0	0	-4.6	-4
19760513/1200	0	0	-4.7	-3.9
19760514/1200	0	0	-3.5	-3.3
19760515/1200	0	0	-5.5	-2.3
19760516/1200	0	0.5	-1.3	-1.3
19760517/1200	0.1	0	-0.1	1.6
19760518/1200	0.1	0	3.7	3.3
19760519/1200	0	3.3	5.6	4.3
19760520/1200	3.8	6.7	-0.5	-2
19760521/1200	0	0	-1.7	-1.2
19760522/1200	1	0	0.8	0.3
19760523/1200	0	0	1.7	1.5
19760524/1200	0	0.6	1.8	2.8
19760525/1200	0.2	0	3.3	2.1
19760526/1200	0	0	3.3	4.5
19760527/1200	0	0	1.8	-0.1
19760528/1200	0	0	-0.9	-1.6
19760529/1200	0	0	-1.5	-1.4
19760530/1200	0	0	-0.3	-0.9
19760531/1200	0.1	0	-2.9	-5.3
19760601/1200	0	0	-3.1	-3.5
19760602/1200	0	0	-1.3	-1.4
19760603/1200	0	0	0.4	0.5
19760604/1200	0	0	0.2	0.5
19760605/1200	0	0	1	2
19760606/1200	0	0	1.3	2.3
19760607/1200	0	0	3.8	1.7
19760608/1200	0	0	1.1	0.2
19760609/1200	0	0.6	3.2	2.1
19760610/1200	0	8.1	5	3.8
19760611/1200	0.3	4.6	3.9	3
19760612/1200	0	0.2	4.6	1.7
19760613/1200	0	0	1.8	2.6
19760614/1200	0	0	1.6	2.5
19760615/1200	0.4	0	2.4	2.8
19760616/1200	0	0	3.3	3.7
19760617/1200	0	0	5.7	5.5
19760618/1200	0	0.3	4.9	5.5
19760619/1200	0	0	4.3	5.5
19760620/1200	0	0	3.3	3.3
19760621/1200	0	0.3	3.9	3.5
19760622/1200	0	0	3.2	4.3
19760623/1200	0	0	3	5.4
19760624/1200	0	0	4.1	5.2
19760625/1200	0	0	4.6	4
19760626/1200	0	0	4.3	4.5
19760627/1200	0	0	5.6	4.4
19760628/1200	0.1	0	6.6	5.1
19760629/1200	0	0	5	3.8
19760630/1200	0	0	6.6	5.4
19760701/1200	0.1	0	4.5	5.7
19760702/1200	3	4.3	4.2	3.5
19760703/1200	0	4.9	5.2	3.9
19760704/1200	0	1.1	3.5	5.9
19760705/1200	0	0	4.7	6
19760706/1200	0	0	5.4	6.1
19760707/1200	0	0	5.9	6.9
19760708/1200	0	0	6.7	6.8
19760709/1200	0.2	4.2	6.3	6
19760710/1200	0	0	6.9	6.1
19760711/1200	0	0	5.8	3.9
19760712/1200	0	0	6.2	5.9
19760713/1200	0	0	6.1	6.6
19760714/1200	0	0	6	6.8
19760715/1200	2	0	6.4	5.6
19760716/1200	0.8	2.5	5.6	5.2
19760717/1200	0	0	7.4	7.5
19760718/1200	0	0	12.7	8.8
19760719/1200	0	3.9	8.2	5.8
19760720/1200	0.5	2.8	7	6.1
19760721/1200	0	0	7.6	5.4
19760722/1200	0.7	0	6.9	5.2
19760723/1200	0	0	4.6	2.9
19760724/1200	0	0	4.3	3.6
19760725/1200	0	0	6.8	5.3
19760726/1200	0	0	5.6	5.7
19760727/1200	5.7	1	5.3	5.7
19760728/1200	0	0	4.5	5.9
19760729/1200	0	0	3.8	5.5
19760730/1200	0.4	0	2.7	6.5
19760731/1200	2.6	0	4.8	4.5
19760801/1200	0	0	7.6	5.5
19760802/1200	0.7	0.3	6.1	6.1
19760803/1200	1	2	4.4	4.1
19760804/1200	2.7	5.5	4.5	3.6
19760805/1200	1.4	1.5	4.7	4.3
19760806/1200	0.1	2	8.4	7.4
19760807/1200	0	0	8.1	7.1
19760808/1200	0.4	0	7.5	6.7
19760809/1200	3.7	0.1	6.6	5.8
19760810/1200	1.4	11	6.8	4.6
19760811/1200	13.5	28	5	4.1
19760812/1200	4.4	1.5	5	4.6
19760813/1200	3.3	18.5	5.4	4.9
19760814/1200	3	8	5	4.4
19760815/1200	1	10.5	6.3	5.3
19760816/1200	0.4	1.8	4.6	3.8
19760817/1200	5.8	0	2.8	3.2
19760818/1200	0.4	10.2	2.9	2.7
19760819/1200	0.2	0.9	2.8	2
19760820/1200	0	0.1	5	5.3
19760821/1200	3.2	4.5	5	5.2
19760822/1200	2.6	5	2.8	2.9
19760823/1200	0.8	0.7	4.9	4.4
19760824/1200	4	2.5	3.7	3.7
19760825/1200	0.1	0	2.3	2.7
19760826/1200	1	0	2	1.5
19760827/1200	0.2	1.5	2.3	2.3
19760828/1200	2	1	1	0.1
19760829/1200	0	0	1	0.1
19760830/1200	1	0	3.8	3.7
19760831/1200	1.2	4.2	4.9	6.5
19760901/1200	1.9	5.5	2.4	1.5
19760902/1200	1.2	10.7	3.4	2.9
19760903/1200	0	0	1.3	1.6
19760904/1200	3	0	0.4	1.6
19760905/1200	0.5	0	1.1	2.3
19760906/1200	0	0	2.2	3.3
19760907/1200	0	0	2.2	3
19760908/1200	0	0	1.1	1.2
19760909/1200	0	0	-0.2	-1.1
19760910/1200	0	1	-0.4	-0.9
19760911/1200	3.1	6.8	-0.7	-2
19760912/1200	0	0	-1.8	-1.6
19760913/1200	0.1	0	-3.6	-2.5
19760914/1200	0	0	-2.3	-2.3
19760915/1200	0	3.5	-3.5	-3.5
19760916/1200	0	0	-1.9	-1
19760917/1200	1.4	5.2	-4.2	-4.1
19760918/1200	0	0	-2.1	-0.1
19760919/1200	1.1	2.5	-0.7	-1.5
19760920/1200	0.7	1.5	0.1	2.8
19760921/1200	4.9	3.2	0.7	0.1
19760922/1200	0	0.5	-3.6	-4.7
19760923/1200	0	0	-3.9	-4.6
19760924/1200	0	0	-0.7	0.7
19760925/1200	3.2	0	-5	-4.8
19760926/1200	0	0	-3	-3.3
19760927/1200	0	0	-1.3	-1.9
19760928/1200	0	0	-0.7	-0.2
19760929/1200	0	0	0.8	1.5
19760930/1200	2.4	2.4	-2.7	0.2
19761001/1200	0	0	-2.5	0
19761002/1200	0	9	3.8	3.3
19761003/1200	2.7	7	-2.8	-4.3
19761004/1200	0.3	1	-5.2	-5.4
19761005/1200	0	0	-6.4	-5.9
19761006/1200	0	0	-2.3	1.6
19761007/1200	0	0	-2.2	1.2
19761008/1200	0	0	-2.3	-3.7
19761009/1200	0	0	-4.1	-2.8
19761010/1200	0	0	-6.7	-7.1
19761011/1200	0	0	-9.7	-8.5
19761012/1200	0	0	-6.4	-2.9
19761013/1200	0	0	-0.8	-1
19761014/1200	0	0	0.8	2
19761015/1200	0	0	2.8	2.8
19761016/1200	4.7	7.5	2	1.7
19761017/1200	1.9	3.1	0.5	0.2
19761018/1200	3.7	0	0.1	0.8
19761019/1200	1.1	3	-1.3	-3.1
19761020/1200	1	0	-10.8	-12.1
19761021/1200	0	0	-11.4	-8.1
19761022/1200	0.9	2.9	-1.3	-1.2
19761023/1200	0.6	3.5	-4.1	-6.5
19761024/1200	4.3	1.6	-12.6	-9.9
19761025/1200	0	0	-11.9	-11.5
19761026/1200	0	0	-8.2	-4.2
19761027/1200	1	4	-5.2	-6.3
19761028/1200	0.5	1.3	-6.7	-8.3
19761029/1200	0.6	0	-4.5	-6.3
19761030/1200	0.5	2	-1.5	-1.4
19761031/1200	2	5.5	2.2	2
19761101/1200	0.7	5.3	2.2	3.8
19761102/1200	3.5	10	-4.7	-9.6
19761103/1200	0	0	-8	-9.5
19761104/1200	0.1	0.4	-9.2	-7.4
19761105/1200	0	2.4	-2.1	-2
19761106/1200	0.1	4.2	-1.9	-0.1
19761107/1200	0.9	0	-6.7	-9
19761108/1200	0.4	0	-16.1	-15.4
19761109/1200	0	0	-14.9	-15.7
19761110/1200	0	2.8	-6.7	-7.5
19761111/1200	0.1	5.6	-3.6	-3
19761112/1200	1.9	2.5	-8.1	-8.1
19761113/1200	0	0	-12.6	-14.5
19761114/1200	0	0	-6.1	-4.9
19761115/1200	0.8	5.6	3.5	1.9
19761116/1200	2.9	18.7	-0.6	-2.6
19761117/1200	0.7	1.8	0.4	0.7
19761118/1200	0.9	5.7	-4.3	-5.4
19761119/1200	1.4	1.4	-9.7	-10.4
19761120/1200	0	0	-5.3	-4.3
19761121/1200	0.3	0	-10.4	-10
19761122/1200	0	0	-15	-15.7
19761123/1200	0	0	-18.1	-17.2
19761124/1200	0.2	0	-16.6	-16.6
19761125/1200	0	0	-18.4	-18.1
19761126/1200	0	0	-11.4	-8.9
19761127/1200	0	0	-9.1	-7.1
19761128/1200	0	0	-3	-2.5
19761129/1200	0	0	-6.3	-4.7
19761130/1200	0	0	-11	-7.4
19761201/1200	0	0	-14.6	-14.5
19761202/1200	0	0	-12.7	-12.3
19761203/1200	0	0	-9	-8.1
19761204/1200	0	0	-6.8	-7
19761205/1200	0	0	-5.3	-6.7
19761206/1200	0	0	-4.7	-3.9
19761207/1200	0.3	1.5	-0.3	0
19761208/1200	0	0	-0.9	-0.6
19761209/1200	0.1	0	-4.7	-8.5
19761210/1200	0	1	-10.8	-8.9
19761211/1200	0	1	-2.6	-3.8
19761212/1200	0.1	0	1.3	1.5
19761213/1200	2.4	10.1	-0.1	0.7
19761214/1200	0.3	4.7	-4	-3.9
19761215/1200	2	9.1	-0.9	-1.9
19761216/1200	0	0.9	2.2	1.9
19761217/1200	0.4	9.4	-1.9	-4.4
19761218/1200	0.5	0	0.4	-1.4
19761219/1200	1	5.3	1.1	0.5
19761220/1200	0	0	-1.8	-7.7
19761221/1200	0.4	2.3	-7	-11.3
19761222/1200	0	0	-14.8	-16
19761223/1200	0	0	-17.5	-18.7
19761224/1200	0	0	-18.8	-20.2
19761225/1200	0	0	-19.2	-20.3
19761226/1200	0	0	-18.9	-19
19761227/1200	0	0	-20.7	-20.1
19761228/1200	0	0	-20.3	-17.7
19761229/1200	0	0	-14.6	-15.7
19761230/1200	0	0	-10.5	-11.7
19761231/1200	0.4	0	-10.4	-9.2
19770101/1200	0	0.3	-2.3	-1.9
19770102/1200	0	0	-5.1	-5.3
19770103/1200	0.2	0.7	-4	-3.4
19770104/1200	0.4	0.1	-1.6	-2.1
19770105/1200	3.2	9	-5	-4
19770106/1200	1	1.4	-6.9	-8.3
19770107/1200	0.2	0	-9.5	-7.7
19770108/1200	1.3	0.3	-12.7	-9.8
19770109/1200	0	0	-14.7	-13.8
19770110/1200	0	0	-16.4	-14
19770111/1200	0	0	-14.4	-11.5
19770112/1200	0	0	-15.4	-11.1
19770113/1200	0	0	-16	-11
19770114/1200	0	0	-15.2	-13.7
19770115/1200	0	0.8	-11.3	-10
19770116/1200	0	0	-11.6	-12
19770117/1200	0	0	-15.3	-13.6
19770118/1200	0.1	1.2	-8.1	-8
19770119/1200	0	8.7	-10.9	-6.7
19770120/1200	0	0	-8.7	-5.7
19770121/1200	0.1	1.2	-8.7	-6.1
19770122/1200	0	0	-12.1	-12.3
19770123/1200	0.1	0	-15.4	-14
19770124/1200	0	0	-18.1	-11.7
19770125/1200	0	0	-11.4	-8.7
19770126/1200	0	0	-11.7	-13.5
19770127/1200	0	0	-11.2	-11.2
19770128/1200	0	0	-11.9	-13.4
19770129/1200	0	0	-12.7	-11.9
19770130/1200	0	0	-14.5	-16
19770131/1200	0	0	-8.9	-10.9
19770201/1200	0	1.4	-11.3	-13
19770202/1200	0	0	-12.8	-14.8
19770203/1200	0	0	-13.2	-13.4
19770204/1200	0	0	-16.2	-14.3
19770205/1200	0	0	-16.1	-14.6
19770206/1200	0	0	-15.4	-16
19770207/1200	0	0	-11.1	-16.3
19770208/1200	0	0	-10.6	-12.7
19770209/1200	0	0	-16.1	-10.6
19770210/1200	0	0	-15.4	-8.1
19770211/1200	0.1	1	-11.9	-7.6
19770212/1200	0.7	2	-17.2	-16.8
19770213/1200	2	0	-20	-20.1
19770214/1200	0.4	0	-25.3	-19.4
19770215/1200	0.2	0	-28.3	-23.5
19770216/1200	1	0.7	-18.2	-12.9
19770217/1200	5	0.4	-13.7	-13.8
19770218/1200	0.6	0	-21.3	-15.8
19770219/1200	0.1	3	-16.6	-8.9
19770220/1200	0.1	0.8	-10.6	-5.7
19770221/1200	0	0.5	-11.9	-7.3
19770222/1200	0	1.1	-14.5	-21.6
19770223/1200	0.6	0	-27.5	-31.3
19770224/1200	0	0	-31.8	-31.2
19770225/1200	0	0	-27.9	-23.8
19770226/1200	0	0	-14.4	-15.7
19770227/1200	0	0	-20.5	-21.3
19770228/1200	0	0	-29.9	-28.2
19770301/1200	0	0	-22.5	-21.2
19770302/1200	0.4	0	-21.7	-22.6
19770303/1200	0.2	0	-28.9	-25.5
19770304/1200	1	0	-25.9	-23
19770305/1200	0	0	-24.4	-21.8
19770306/1200	0	0	-30.1	-27.8
19770307/1200	0	0	-32.4	-29.8
19770308/1200	0	0	-33.7	-29.8
19770309/1200	0	0	-29.6	-19.4
19770310/1200	0.1	1	-21.9	-17.9
19770311/1200	0	0	-15.7	-15.9
19770312/1200	0	0.3	-24.5	-16.1
19770313/1200	0	0	-25.1	-21.5
19770314/1200	0.1	0.5	-17.6	-14.8
19770315/1200	2	1.2	-16.9	-18.5
19770316/1200	0	0	-20.9	-15
19770317/1200	0.1	0	-17.1	-10.8
19770318/1200	0	0.3	-17.7	-12.8
19770319/1200	0.4	0	-12.9	-13.6
19770320/1200	1.2	0	-21.8	-23.8
19770321/1200	0	0	-30.3	-28.9
19770322/1200	0	0	-30	-25.5
19770323/1200	0	0	-20.7	-21.7
19770324/1200	0	0	-19.3	-17.9
19770325/1200	0	0	-25.5	-21.8
19770326/1200	0	0	-25.3	-21
19770327/1200	0	0	-25.8	-23
19770328/1200	0	0	-21.8	-18.2
19770329/1200	0	0	-22.9	-20
19770330/1200	0	0	-23.7	-16.9
19770331/1200	0	0	-17	-14.8
19770401/1200	0	0	-15.8	-14.8
19770402/1200	0	0	-15.8	-16.2
19770403/1200	0	0	-21.3	-18.5
19770404/1200	0	0	-23.4	-20.6
19770405/1200	0	0	-21.9	-21.3
19770406/1200	0	0	-23.6	-23.2
19770407/1200	0	0	-24.2	-21.4
19770408/1200	0	0	-22.6	-15.3
19770409/1200	1	0	-6.1	-4.6
19770410/1200	0.6	2.6	1.2	0.3
19770411/1200	1.6	4.1	-5.7	-9
19770412/1200	0.2	3.2	-10	-12.7
19770413/1200	0.1	0	-8.7	-12.9
19770414/1200	0.4	0	-10.5	-9.8
19770415/1200	0	0	-14.8	-16.6
19770416/1200	0	0	-16.6	-16.5
19770417/1200	0	0	-17.8	-17.6
19770418/1200	0	0	-18.5	-16.7
19770419/1200	0.1	0.4	-17.9	-15.3
19770420/1200	0.2	0.5	-13.4	-12.7
19770421/1200	0.4	2.8	-22.5	-21.9
19770422/1200	0	0	-25.5	-25.7
19770423/1200	0	0	-20.8	-23.1
19770424/1200	0	0	-14.2	-14.2
19770425/1200	0.1	6.1	-11.9	-15.5
19770426/1200	1.7	0	-13.8	-14.9
19770427/1200	2.3	0	-18.8	-17.1
19770428/1200	0	0	-18.8	-16.2
19770429/1200	0	0	-10.1	-11.9
19770430/1200	0.3	0	-10.6	-9.4
19770501/1200	0.5	0	-14.5	-11
19770502/1200	0	0.2	-14.8	-12
19770503/1200	0.3	3	-5.1	-3.1
19770504/1200	0.3	3	-8.5	-9.9
19770505/1200	0	0	-8.7	-9.3
19770506/1200	0	0	-13.1	-13.1
19770507/1200	0	0	-11.2	-11.7
19770508/1200	0	0	-11.3	-9.8
19770509/1200	0	0	-9.7	-8.2
19770510/1200	0	0	-7.9	-8.5
19770511/1200	0	0	-7.6	-8.8
19770512/1200	0	0	-5.8	-7.5
19770513/1200	0	0	-4	-5.4
19770514/1200	0	0	-2.1	-3.2
19770515/1200	0.3	0	-4.1	-3.4
19770516/1200	0.3	0.1	-3.1	-2.9
19770517/1200	0	1.3	-2.5	-3.2
